timeframe,symbol,time,open,high,low,close
5min,NQ,1683204900,13092.25,13095.5,13077.5,13078.5
5min,NQ,1683205200,13078.25,13094,13076.5,13090.25
5min,NQ,1683205500,13090.75,13103.25,13089.25,13091.75
5min,NQ,1683205800,13091.5,13093.5,13079.75,13083.75
5min,NQ,1683206100,13083.75,13093.5,13079.75,13083.5
5min,NQ,1683206400,13083.5,13085.25,13076.75,13077.75
5min,NQ,1683206700,13078.25,13082.75,13074.25,13082.75
5min,NQ,1683207000,13082.75,13086,13046,13071.5
5min,NQ,1683207300,13071.5,13084,13060,13066.25
5min,NQ,1683207600,13066.25,13070,13034,13038
5min,NQ,1683207900,13038.5,13046,13027,13046
5min,NQ,1683208200,13046,13056.75,13036.25,13045.25
5min,NQ,1683208500,13046,13063,13040,13041.5
5min,NQ,1683208800,13041.75,13054.25,13037,13052.75
5min,NQ,1683209100,13052.5,13066.25,13048.5,13054
5min,NQ,1683209400,13054,13064.5,13040.25,13046.25
5min,NQ,1683209700,13046.25,13063.5,13009.75,13042.5
5min,NQ,1683210000,13042.25,13046,13007.75,13020.75
5min,NQ,1683210300,13020.75,13028,13005,13008.75
5min,NQ,1683210600,13009.5,13028,13001.75,13027
5min,NQ,1683210900,13026,13038,13012.25,13014.5
5min,NQ,1683211200,13014,13037.25,13013.75,13023.25
5min,NQ,1683211500,13023,13064.75,13020.25,13038.75
5min,NQ,1683211800,13038.25,13058.25,13030.75,13056.5
5min,NQ,1683212100,13056.75,13064.25,13039.75,13044
5min,NQ,1683212400,13044.25,13058.25,13038.5,13046.5
5min,NQ,1683212700,13046.75,13107.25,13042.25,13089
5min,NQ,1683213000,13089.5,13103,13076.75,13091.75
5min,NQ,1683213300,13092,13097.25,13069,13074.5
5min,NQ,1683213600,13074.25,13076,13062,13064
5min,NQ,1683213900,13064.5,13079.5,13064.5,13071
5min,NQ,1683214200,13070.75,13078.75,13062.75,13074.5
5min,NQ,1683214500,13074.5,13083,13066.5,13079.5
5min,NQ,1683214800,13079.5,13084.25,13065,13065.75
5min,NQ,1683215100,13065.5,13070.75,13047.5,13050
5min,NQ,1683215400,13050.25,13051.25,13035,13044.75
5min,NQ,1683215700,13044.5,13057,13038.75,13050
5min,NQ,1683216000,13049.75,13054.5,13040,13045.75
5min,NQ,1683216300,13046.25,13049.5,13031.75,13040.25
5min,NQ,1683216600,13039.75,13044.75,13030.75,13040.5
5min,NQ,1683216900,13040.25,13059.25,13040.25,13052
5min,NQ,1683217200,13051.5,13074,13051,13070
5min,NQ,1683217500,13070.25,13076.5,13065.25,13076
5min,NQ,1683217800,13075.75,13080,13061.25,13064.5
5min,NQ,1683218100,13064.5,13074.75,13060.75,13069.5
5min,NQ,1683218400,13069,13074.25,13055.5,13057.75
5min,NQ,1683218700,13057.75,13065,13051.25,13063.75
5min,NQ,1683219000,13063.75,13067.5,13056.5,13067
5min,NQ,1683219300,13066.75,13091.25,13066.25,13090.5
5min,NQ,1683219600,13090.5,13093.75,13079.75,13087
5min,NQ,1683219900,13086.75,13101.75,13085.25,13098.25
5min,NQ,1683220200,13098.5,13101.5,13092,13096
5min,NQ,1683220500,13095.25,13118,13093.75,13105.5
5min,NQ,1683220800,13105.75,13123.75,13100,13117.5
5min,NQ,1683221100,13117.25,13119.25,13089.5,13108.25
5min,NQ,1683221400,13107.75,13130,13107,13129.5
5min,NQ,1683221700,13129.25,13131.25,13112,13113.75
5min,NQ,1683222000,13113.5,13115.75,13097.5,13104.25
5min,NQ,1683222300,13105,13112.25,13098.5,13104.25
5min,NQ,1683222600,13104.25,13107.75,13091,13100.25
5min,NQ,1683222900,13100,13109.75,13095,13109.75
5min,NQ,1683223200,13109.5,13111.5,13093.5,13097.5
5min,NQ,1683223500,13097.25,13105.5,13085.75,13100.75
5min,NQ,1683223800,13100.5,13104.5,13087.75,13093.5
5min,NQ,1683224100,13093.25,13100.25,13084.25,13093
5min,NQ,1683224400,13093.25,13097.25,13072.5,13076.75
5min,NQ,1683224700,13076.5,13079,13062.5,13063
5min,NQ,1683225000,13063,13064.25,13042.5,13060.75
5min,NQ,1683225300,13060.5,13075.25,13053.75,13055
5min,NQ,1683225600,13054.75,13061.5,13051.5,13059.75
5min,NQ,1683225900,13059.5,13063.5,13048.5,13053
5min,NQ,1683226200,13052.75,13059.25,13044.5,13056
